event_name,encoding
mxp_p1_dat_txflit_stall,"type=0x6,eventid=0x76"
mxp_p1_dat_txflit_valid,"type=0x6,eventid=0x75"
mxp_p1_req_partial_dat_flit,"type=0x6,eventid=0x17"
mxp_p1_req_txflit_stall,"type=0x6,eventid=0x16"
mxp_p1_req_txflit_valid,"type=0x6,eventid=0x15"
mxp_p1_rsp_partial_dat_flit,"type=0x6,eventid=0x37"
mxp_p1_rsp_txflit_stall,"type=0x6,eventid=0x36"
mxp_p1_rsp_txflit_valid,"type=0x6,eventid=0x35"
mxp_p1_snp_partial_dat_flit,"type=0x6,eventid=0x57"
mxp_p1_snp_txflit_stall,"type=0x6,eventid=0x56"
mxp_p1_snp_txflit_valid,"type=0x6,eventid=0x55"
mxp_s_dat_partial_dat_flit,"type=0x6,eventid=0x6f"
mxp_s_dat_txflit_stall,"type=0x6,eventid=0x6e"
mxp_s_dat_txflit_valid,"type=0x6,eventid=0x6d"
mxp_s_req_partial_dat_flit,"type=0x6,eventid=0xf"
mxp_s_req_txflit_stall,"type=0x6,eventid=0xe"
mxp_s_req_txflit_valid,"type=0x6,eventid=0xd"
mxp_s_rsp_partial_dat_flit,"type=0x6,eventid=0x2f"
mxp_s_rsp_txflit_stall,"type=0x6,eventid=0x2e"
mxp_s_rsp_txflit_valid,"type=0x6,eventid=0x2d"
mxp_s_snp_partial_dat_flit,"type=0x6,eventid=0x4f"
mxp_s_snp_txflit_stall,"type=0x6,eventid=0x4e"
mxp_s_snp_txflit_valid,"type=0x6,eventid=0x4d"
mxp_w_dat_partial_dat_flit,"type=0x6,eventid=0x67"
mxp_w_dat_txflit_stall,"type=0x6,eventid=0x66"
mxp_w_dat_txflit_valid,"type=0x6,eventid=0x65"
mxp_w_req_partial_dat_flit,"type=0x6,eventid=0x7"
mxp_w_req_txflit_stall,"type=0x6,eventid=0x6"
mxp_w_req_txflit_valid,"type=0x6,eventid=0x5"
mxp_w_rsp_partial_dat_flit,"type=0x6,eventid=0x27"
mxp_w_rsp_txflit_stall,"type=0x6,eventid=0x26"
mxp_w_rsp_txflit_valid,"type=0x6,eventid=0x25"
mxp_w_snp_partial_dat_flit,"type=0x6,eventid=0x47"
mxp_w_snp_txflit_stall,"type=0x6,eventid=0x46"
mxp_w_snp_txflit_valid,"type=0x6,eventid=0x45"
rnid_rdb_hybrid,"type=0xa,eventid=0x13"
rnid_rdb_ord,"type=0xa,eventid=0x14"
rnid_rdb_replay,"type=0xa,eventid=0x12"
rnid_rdb_unord,"type=0xa,eventid=0x11"
rnid_rrt_alloc,"type=0xa,eventid=0xf"
rnid_rrt_occ_ovfl,"type=0xa,eventid=0x8"
rnid_rxdat_flits,"type=0xa,eventid=0x4"
rnid_s0_rdata_beats,"type=0xa,eventid=0x1"
rnid_s0_wdata_beats,"type=0xa,eventid=0xc"
rnid_s1_rdata_beats,"type=0xa,eventid=0x2"
rnid_s1_wdata_beats,"type=0xa,eventid=0xd"
rnid_s2_rdata_beats,"type=0xa,eventid=0x3"
rnid_s2_wdata_beats,"type=0xa,eventid=0xe"
rnid_txdat_flits,"type=0xa,eventid=0x5"
rnid_txreq_flits_replayed,"type=0xa,eventid=0xa"
rnid_txreq_flits_retried,"type=0xa,eventid=0x7"
rnid_txreq_flits_total,"type=0xa,eventid=0x6"
rnid_wrcancel_sent,"type=0xa,eventid=0xb"
rnid_wrt_alloc,"type=0xa,eventid=0x10"
rnid_wrt_occ_ovfl,"type=0xa,eventid=0x9"
watchpoint_down,"type=0x7770,eventid=0x2,wp_dev_sel=?,wp_chn_sel=?,wp_grp=?,wp_val=?,wp_mask=?"
watchpoint_up,"type=0x7770,eventid=0x0,wp_dev_sel=?,wp_chn_sel=?,wp_grp=?,wp_val=?,wp_mask=?"
